X_CH4,Y_H2,S_CO,H2_CO_ratio,F_H2_umol,F_CO_umol,T_C,SC
64.61252641116401,57.248832238133005,45.58678994331161,7.77447173835689,228.99532895253205,29.4547766921241,600,2.0
71.81723647926967,64.44959188934182,41.03552267458535,8.74765212988826,257.7983675573673,29.470578359711283,600,2.5
77.66291683698144,70.42113001881205,37.29855695927642,9.724275484349972,281.6845200752482,28.96714727267701,600,3.0
82.37130460395686,75.34460803620544,34.122060353594755,10.722621549078303,301.3784321448218,28.1067862710055,600,3.5
86.12683940450172,79.37333604938942,31.365383435906313,11.752912803294153,317.4933441975577,27.014013420449217,600,4.0
89.09291399494815,82.64620089289127,28.94377482107059,12.819897455421286,330.5848035715651,25.786852408227897,600,4.5
91.41575224725354,85.29052938355771,26.801607876632776,13.92447773436546,341.1621175342309,24.500891454783,600,5.0
80.90456520006458,68.69975289155533,60.3417731908137,5.628906955304635,274.79901156622134,48.819249234036995,650,2.0
86.83527844125516,75.10960005664084,54.013431384557734,6.4055654259795585,300.43840022656343,46.902713538456986,650,2.5
90.85498537670148,79.80953417260194,48.62892733207478,7.22555671994391,319.23813669040777,44.18180481640256,650,3.0
93.57164506404082,83.27338955811796,44.02297511762094,8.086164643150001,333.0935582324718,41.19302202369129,650,3.5
95.4126854789739,85.85383935220696,40.07369074156726,8.981611191731137,343.41535740882784,38.23538450706829,650,4.0
96.67089710466047,87.8064133302958,36.67901732521449,9.905417570307298,351.22565332118324,35.457935097458694,650,4.5
97.54173617557021,89.31151214880948,33.750574264730275,10.851650193045886,357.246048595238,32.92089610704312,650,5.0
92.34981761043544,76.16831901509246,70.0878421378261,4.707123914778393,304.67327606036986,64.7259943813724,700,2.0
95.4832151355167,80.55314762368539,62.545307007724674,5.3953639231578014,322.21259049474156,59.72027004735517,700,2.5
97.17382322587225,83.52145927993172,56.19770219066851,6.117728739920243,334.08583711972693,54.60945578376239,700,3.0
98.144523990028,85.662104976134,50.87362394324468,6.862620528984713,342.648419904536,49.92967605557363,700,3.5
98.73232137377924,87.28235974231143,46.38789596821372,7.622939058802994,349.1294389692457,45.79984652587114,700,4.0
99.10462217399034,88.55503079630634,42.57961393228583,8.394166904287056,354.2201231852254,42.198365510735634,700,4.5
99.3495835190866,89.58389419692918,39.318491235673115,9.173330344809493,358.3355767877168,39.06275728862989,700,5.0
97.52587871270934,79.10662851539605,75.5461030054292,4.2947800625964,316.4265140615842,73.67700078925328,750,2.0
98.65729923059838,81.93819550228787,67.78658592399502,4.900872488968482,327.7527820091515,66.87641491324247,750,2.5
99.19026936668041,83.97776617239141,61.34675625510151,5.52031214717626,335.91106468956565,60.85001277715613,750,3.0
99.4764830419669,85.5587502882655,55.96391158231767,6.147463225683177,342.23500115306206,55.67093101480553,750,3.5
99.64408780933702,86.83581666965192,51.41608065776353,6.779667273016821,347.3432666786077,51.23308455874217,750,4.0
99.74853870996644,87.89548398409288,47.531742837208334,7.415428850777931,351.58193593637156,47.41221890349445,750,4.5
99.81679449719695,88.7919609297759,44.180274964573265,8.053814181119222,355.1678437191036,44.099334269684704,750,5.0
99.23153268964593,79.65436088773465,78.91512413958402,4.068736878528965,318.6174435509386,78.308687207646,800,2.0
99.59224419050754,81.78038208413365,71.53915347987153,4.59134376831207,327.1215283365346,71.24744842549555,800,2.5
99.75485638669701,83.44787289908253,65.3882290177461,5.1173089714884386,333.7914915963301,65.22793395045723,800,3.0
99.84095293247661,84.8160806908443,60.195227710992825,5.6450450510872106,339.26432276337727,60.099488966529414,800,3.5
99.8912298468927,85.96696503038534,55.757707009312455,6.173896156332115,343.86786012154136,55.69705926602947,800,4.0
99.92263134649158,86.95159391574808,51.9243228724249,6.703518849591518,347.80637566299237,51.88414972297513,800,4.5
99.94324403758044,87.80493949363552,48.58079067107586,7.233707077932599,351.21975797454206,48.55321817577953,800,5.0
99.74718097780976,79.44683481277711,81.40719754094778,3.913570446873658,317.78733925110845,81.20138466013094,850,2.0
99.865891697591,81.24750804299228,74.57354393220949,4.363832518991149,324.9900321719691,74.4735346183959,850,2.5
99.9189238764249,82.73184398944672,68.80410324768602,4.813606763539236,330.92737595778686,68.7483195479122,850,3.0
99.94702467540264,83.98806646374693,63.869668010570436,5.262753705464681,335.95226585498773,63.83583284662272,850,3.5
99.96350415658362,85.06874588027044,59.60078491439005,5.7113210098584455,340.2749835210818,59.57903310525273,850,4.0
99.9738543994923,86.00982667635807,55.87071862742988,6.159385270616844,344.0393067054323,55.85611089253681,850,4.5
99.9806898457019,86.83747553415708,52.58301110675835,6.6070196738617,347.3499021366284,52.57285724617916,850,5.0
99.90970959600413,79.06997898244177,83.43425558068397,3.7941939101162725,316.27991592976707,83.35892245424924,900,2.0
99.95186987990914,80.67554532888772,77.14242694681562,4.185214101129747,322.7021813155509,77.10529820408506,900,2.5
99.97071087019714,82.03613076328458,71.75933811333567,4.574187423081385,328.14452305313836,71.73832042764984,900,3.0
99.98073210002238,83.2095500672946,67.09765644024051,4.961460075081127,332.8382002691784,67.08472813090934,900,3.5
99.9866381198095,84.23409875833516,63.01857791277507,5.347334599546899,336.93639503334066,63.01015744589662,900,4.0
99.9903674295025,85.1374867321118,59.417246197690346,5.732052149793992,340.5499469284472,59.41152278956262,900,4.5
99.99284373185868,85.94062177719816,56.21291056525346,6.115803042001715,343.76248710879264,56.20888781864343,900,5.0
