X_CH4,Y_H2,S_CO,H2_CO_ratio,F_H2_umol,F_CO_umol,SC
98.12413505698258,76.58485932647866,87.80419095636046,3.5555912040570186,306.33943730591466,86.15710291902334,1.5
98.85633338995234,78.30439378873194,83.15881804011754,3.8100731759683275,313.2175751549278,82.20775840488254,1.75
99.23153268964593,79.65436088773465,78.91512413958402,4.068736878528965,318.6174435509386,78.308687207646,2.0
99.45162663749672,80.79082618009663,75.05478226281271,4.3294405491625145,323.1633047203865,74.64320182959878,2.25
99.59224419050754,81.78038208413365,71.53915347987153,4.59134376831207,327.1215283365346,71.24744842549555,2.5
99.68750411667844,82.65866978940554,68.32886219055783,4.854041574473569,330.6346791576222,68.1153373090918,2.75
99.75485638669701,83.44787289908253,65.3882290177461,5.1173089714884386,333.7914915963301,65.22793395045723,3.0
99.80406087944142,84.16326095717307,62.68602613740018,5.3810074532918755,336.65304382869226,62.563199689073464,3.25
99.84095293247661,84.8160806908443,60.195227710992825,5.6450450510872106,339.26432276337727,60.099488966529414,3.5
99.86920608571288,85.4150094827682,57.89250628683094,5.9093571112327075,341.6600379310728,57.81678641177968,3.75
99.8912298468927,85.96696503038534,55.757707009312455,6.173896156332115,343.86786012154136,55.69705926602947,4.0
99.90865839898858,86.47759508915509,53.77337069704586,6.438626123208133,345.9103803566204,53.72425323933328,4.25
99.92263134649158,86.95159391574808,51.9243228724249,6.703518849591518,347.80637566299237,51.88414972297513,4.5
99.93396231438876,87.39291803511652,50.197326269596644,6.968551907559927,349.57167214046615,50.16417711708922,4.75
99.94324403758044,87.80493949363552,48.58079067107586,7.233707077932599,351.21975797454206,48.55321817577953,5.0
99.95091596842643,88.19055870473144,47.06453022365714,7.4989693533355695,352.76223481892583,47.041429054782824,5.25
