X_CH4,Y_H2,S_CO,H2_CO_ratio,F_H2_umol,F_CO_umol,T_C,K1,K2
44.33916914261564,42.88525114355941,13.116330568844928,29.49633416148534,171.54100457423766,5.815671996224747,500,0.01017122798816897,5.233102596763494
52.21606104690289,49.84407727693951,18.170530081407012,21.01366708664706,199.37630910775806,9.487935079853333,525,0.03016010569197238,4.378684033546466
60.628942465379865,56.97030718635686,24.13787956873607,15.571463904314507,227.88122874542745,14.634541116091636,550,0.0837179075604132,3.70365365985907
69.28350683695442,63.96857217008086,30.685136532602396,12.035627186309155,255.87428868032347,21.259738667494393,575,0.21880915110403537,3.163761281625501
77.66291683698144,70.42113001881205,37.29855695927642,9.724275484349972,281.6845200752482,28.96714727267701,600,0.5412767689088204,2.727064597423973
85.06680593689792,75.83371453106456,43.41571922981157,8.213252874671571,303.33485812425823,36.93236562333263,625,1.2731374324183429,2.37016357373418
90.85498537670148,79.80953417260194,48.62892733207478,7.22555671994391,319.23813669040777,44.18180481640256,650,2.8589874670684225,2.0756810888751285
94.79823237386702,82.2765210045714,52.83521034406132,6.570708953275902,329.1060840182857,50.08684547718494,675,6.152076351627027,1.830549026423375
97.17382322587225,83.52145927993172,56.19770219066851,6.117728739920243,334.08583711972693,54.60945578376239,700,12.727162361004915,1.62482412424067
98.49013938933257,83.97093939766337,58.967121304497574,5.783441198264679,335.8837575906535,58.07679996667648,725,25.387895469908806,1.4508579729270887
99.19026936668041,83.97776617239141,61.34675625510151,5.52031214717626,335.91106468956565,60.85001277715613,750,48.96281032538913,1.30270738809651
99.55903735740479,83.76314678384887,63.46341223389105,5.302844204560268,335.05258713539547,63.18356229422345,775,91.5164487116003,1.1757102604138507
99.75485638669701,83.44787289908253,65.3882290177461,5.1173089714884386,333.7914915963301,65.22793395045723,800,166.14073074515022,1.0661768431008167
99.86061355039577,83.09383546617103,67.16072528740587,4.955861826808031,332.3753418646841,67.06711233689909,825,293.53612891243523,0.9711625750570888
99.9189238764249,82.73184398944672,68.80410324768602,4.813606763539236,330.92737595778686,68.7483195479122,850,505.64171225639893,0.8882991695232569
99.95178438936654,82.37692084718391,70.33336583054276,4.68720116372272,329.50768338873564,70.29945416872837,875,850.6265318333246,0.8156677985454746
99.97071087019714,82.03613076328458,71.75933811333567,4.574187423081385,328.14452305313836,71.73832042764984,900,1399.610526927325,0.7517030067051017
99.98184498052106,81.7125083244448,73.09061623996715,4.472658743043569,326.8500332977792,73.07734662433987,925,2255.5392250363625,0.6951192764156372
99.98852913970637,81.40703310294471,74.33451095405616,4.381080669871704,325.62813241177884,74.32598414612498,950,3564.6908262793136,0.6448544449109019
