X_CH4,Y_H2,S_CO,H2_CO_ratio,F_H2_umol,F_CO_umol,GHSV,contact_ms
99.75485638694241,83.44787287190765,65.38822912754301,5.11730896121665,10.34819852082188,2.0221953763685936,1000.0,3600.0
99.75485638782862,83.44787277396433,65.38822952324666,5.117308924197054,12.53712871024025,2.44994564446926,1211.5276586285888,2971.455066964865
99.75485638670702,83.44787289797534,65.38822902221678,5.117308971070169,15.189078214814947,2.9681768876344585,1467.799267622069,2452.6514486086617
99.754856386707,83.44787289797797,65.38822902220997,5.117308971070882,18.401988366321834,3.596028395070879,1778.2794100389228,2024.428770685257
99.7548563867939,83.44787288841282,65.38822906085441,5.11730896745548,22.29451787700493,4.356687864420782,2154.4346900318847,1670.9719801005997
99.75485638671913,83.4478728965724,65.38822902788586,5.117308970539843,27.010425046422075,5.278247845092037,2610.157215682536,1379.2272658406239
99.75485638670702,83.4478728979756,65.38822902221942,5.11730897106997,32.723877015604984,6.394743252870817,3162.2776601683795,1138.4199576606165
99.75485638671351,83.44787289709757,65.38822902576146,5.1173089707385735,39.645882101548615,7.747408321101742,3831.1868495572853,939.6565976457139
99.75485638673143,83.44787289530817,65.3882290329983,5.1173089700615515,48.03208271572429,9.386199464744564,4641.588833612777,775.5964884114784
99.75485638674067,83.44787289389221,65.38822903870457,5.117308969527707,58.19219671064876,11.371640261936246,5623.413251903491,640.1805876140122
99.75485638672517,83.44787289570311,65.38822903139364,5.117308970211699,70.50145583283644,13.777056699767702,6812.920690579608,528.4077363439454
99.7548563867086,83.4478728978307,65.38822902280619,5.117308971015081,85.41446371724093,16.69128524406802,8254.041852680182,436.14995710629194
99.75485638670669,83.4478728980852,65.38822902177878,5.117308971111188,103.48198524068107,20.221953730929535,10000.0,360.0
99.75485638671003,83.4478728977213,65.38822902324908,5.1173089709736335,125.37128728833366,24.499456257080404,12115.276586285876,297.1455066964868
99.75485638669855,83.44787289970711,65.3882290152474,5.117308971722222,151.89078215130144,29.681768873178445,14677.992676220676,245.2651448608664
99.75485638670703,83.4478728979729,65.38822902222925,5.117308971069035,184.01988366320714,35.96028395071957,17782.794100389227,202.4428770685257
99.75485638670709,83.44787289795632,65.3882290222959,5.117308971062802,222.94517879554613,43.56687861847888,21544.346900318822,167.09719801006014
99.75485638670702,83.44787289797307,65.38822902222955,5.117308971069026,270.1042504687541,52.782478446348,26101.572156825332,137.92272658406253
99.75485638595467,83.44787298161683,65.38822868430799,5.117309002682814,327.23877048404677,63.94743219776014,31622.776601683792,113.84199576606166
99.75485638670551,83.44787289824629,65.38822902112902,5.1173089711719735,396.4588210209437,77.47408320552239,38311.86849557285,93.96565976457138
99.75485638670239,83.44787289855698,65.38822901987213,5.1173089712895585,480.32082717594244,93.86199462857563,46415.888336127726,77.55964884114792
99.75485638670042,83.44787289920585,65.38822901726387,5.117308971533573,581.921967143542,113.71640258202929,56234.13251903491,64.01805876140122
99.75485638670763,83.4478728978252,65.38822902282453,5.117308971013351,705.0145583462929,137.77056697959807,68129.20690579608,52.840773634394544
99.75485638670693,83.44787289790145,65.38822902251638,5.117308971042176,854.1446371731325,166.91285243993778,82540.41852680173,43.61499571062924
99.75485638670784,83.44787289777281,65.38822902303514,5.11730897099365,1034.8198524029367,202.219537313183,100000.0,36.0
